[GIN] 2026/04/07 - 14:22:55 | 200 |  505.6µs |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:22:55 | 200 |    3.8ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 14:22:56 | 200 |  504.1µs |       127.0.0.1 | GET      "/api/library/chapters/17/content"
[GIN] 2026/04/07 - 14:22:56 | 200 |  53.76ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:24:12 | 200 |       0s |       127.0.0.1 | GET      "/api/state"
[GIN] 2026/04/07 - 14:24:12 | 200 |       0s |       127.0.0.1 | GET      "/api/library/stories"
[GIN] 2026/04/07 - 14:24:12 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:24:12 | 200 |       0s |       127.0.0.1 | GET      "/api/reader/progress/4"
[GIN] 2026/04/07 - 14:24:12 | 200 |   1.02ms |       127.0.0.1 | GET      "/api/library/stories/3"
[GIN] 2026/04/07 - 14:24:12 | 200 |  513.1µs |       127.0.0.1 | GET      "/api/reader/progress/3"
[GIN] 2026/04/07 - 14:24:13 | 200 |   1.26ms |       127.0.0.1 | GET      "/api/library/chapters/17/content"
[GIN] 2026/04/07 - 14:24:13 | 200 |  48.28ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:24:21 | 200 |  47.77ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:24:22 | 200 |   1.68ms |       127.0.0.1 | GET      "/api/library/chapters/21/content"
[GIN] 2026/04/07 - 14:24:22 | 200 |   2.23ms |       127.0.0.1 | GET      "/api/library/chapters/20/content"
[GIN] 2026/04/07 - 14:24:22 | 200 |   2.75ms |       127.0.0.1 | GET      "/api/library/chapters/16/content"
[GIN] 2026/04/07 - 14:24:22 | 200 |  517.1µs |       127.0.0.1 | GET      "/api/library/chapters/18/content"
[GIN] 2026/04/07 - 14:24:22 | 200 |   2.75ms |       127.0.0.1 | GET      "/api/library/chapters/19/content"
[GIN] 2026/04/07 - 14:24:22 | 200 |  69.88ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:24:22 | 200 |   56.5ms |       127.0.0.1 | POST     "/api/reader/progress"
[GIN] 2026/04/07 - 14:24:43 | 200 |  52.97ms |       127.0.0.1 | POST     "/api/reader/progress"
